,COMID,LON_DD,LAT_DD,region_vpu,CatArea,WsArea,CatPctFull,WsPctFull,PctImp2006Cat,PctImp2006Ws
253,12121694,-86.013328,44.1428,GL_04,3.1212,321.0516,100,100,0.100634371,0.43752593
254,12129472,-84.946862,44.117643,GL_04,27.7803,73.6533,100,100,0.342631289,0.293803536
255,12174756,-88.187175,44.096165,GL_04,13.3974,63.504,100,100,1.153365578,0.891128118
256,12221576,-86.109379,46.489716,GL_04,6.8778,6.8778,100,100,0.142763674,0.142763674
257,12222236,-86.116937,46.232535,GL_04,19.044,179.7786,100,100,0.000803403,0.080909519
258,12259796,-85.301598,41.970974,GL_04,0.0387,31.1949,100,100,1.651162791,0.947376013
259,12918015,-82.853,43.9289,GL_04,0.7164,183.7377,100,100,0.883165829,1.045348342
260,12942280,-83.87287,44.219009,GL_04,8.3376,36.1773,100,100,0.776338515,0.85635744
261,12942280,-83.87287,44.219009,GL_04,8.3376,36.1773,100,100,0.776338515,0.85635744
262,13015417,-83.200398,43.207763,GL_04,0.5301,33.6573,100,100,3.069609508,0.552691392
263,13015533,-83.405923,43.182202,GL_04,1.6767,19.5615,100,100,0.651637144,0.929468599
264,13047609,-84.265503,43.632979,GL_04,1.1781,164.8359,100,100,16.77158136,3.50007371
265,13047609,-84.265503,43.632979,GL_04,1.1781,164.8359,100,100,16.77158136,3.50007371
266,13056166,-85.03008,45.01436,GL_04,0.2844,75.1194,100,100,0.199367089,0.252486042
267,13228112,-84.076058,42.168095,GL_04,5.2884,334.5489,100,100,0.36334241,2.01545245
268,15455650,-74.802236,44.670143,GL_04,2.2563,8.559,100,100,0.061428002,0.026182965
269,15455920,-74.808717,44.588445,GL_04,2.9718,2.9718,100,100,0,0
270,15466705,-74.523826,44.318731,GL_04,3.4776,21.2922,100,100,0.033643892,0.023924254
271,15484565,-75.664912,44.102028,GL_04,1.7523,121.5441,100,100,0.329224448,0.274492962
272,15510596,-74.854973,43.696314,GL_04,0.4086,4.9212,100,100,0,0
273,15539781,-77.649503,42.791533,GL_04,4.4505,4.4505,100,100,0.125985844,0.125985844
274,15547415,-77.918493,42.664532,GL_04,1.3005,1.3005,100,100,0.501038062,0.501038062
275,15558253,-77.626852,43.269083,GL_04,2.2446,13.8051,100,100,16.52927025,23.72168981
276,15567147,-78.512015,43.123117,GL_04,1.8378,28.5372,100,100,1.007835455,0.641289265
277,15581561,-78.981667,42.540556,GL_04,11.7072,137.5479,100,100,0.497078721,0.513855173
278,15604210,-82.590951,41.292001,GL_04,3.5532,26.8137,100,100,5.351570415,1.604806498
279,15612136,-83.095508,41.123445,GL_04,1.2501,2.5209,100,100,1.75737941,1.910389147
280,15645090,-83.812091,40.942981,GL_04,0.9315,74.4678,100,100,0.323671498,0.797382224
281,15667527,-84.804045,41.245069,GL_04,2.4858,2.4858,100,100,0.326574946,0.326574946
282,15672757,-84.988419,40.760881,GL_04,5.5935,5.5935,100,100,0.513435237,0.513435237
283,15676729,-84.725947,41.736433,GL_04,2.4804,116.0847,100,100,0.663642961,1.185706644
284,21624117,-76.038056,43.531111,GL_04,2.6667,618.6699,100,100,0.334795815,0.037855082
285,21631975,-76.79273,43.15694,GL_04,2.5299,2.5299,100,100,0.136250445,0.136250445
